time,total_free_energy,total_solute
0.0100000000,183.0413277853,5096.8562678159
0.0300000000,183.0220259955,5096.8562678152
0.0700000000,182.9839014128,5096.8562678160
0.1500000000,182.9067717355,5096.8562678190
0.3100000000,182.7465467848,5096.8562678348
0.6300000000,182.3975889321,5096.8562679029
0.9500000000,182.0113484811,5096.8562680436
1.2700000000,181.5832065547,5096.8562682488
1.5900000000,181.1085242221,5096.8562685335
1.9100000000,180.5827852903,5096.8562687544
2.2300000000,180.0017726178,5096.8562688902
2.5500000000,179.3617885360,5096.8562693774
2.8700000000,178.6597305322,5096.8562699349
3.1900000000,177.8933581689,5096.8562705458
