time,total_free_energy,total_solute
0.1000000000,297.3021667041,20504.4690550892
0.3000000000,296.5474761152,20504.4690550943
0.7000000000,294.9200038967,20504.4690552652
1.5000000000,291.0891064526,20504.4690552653
3.1000000000,280.0508196684,20504.4690552613
4.7000000000,263.8842386975,20504.4690553592
6.3000000000,243.3175456455,20504.4690553593
7.9000000000,222.1139175855,20504.4690553570
9.5000000000,204.0133072485,20504.4690553564
11.1000000000,190.1698691868,20504.4690553571
14.3000000000,172.9110738431,20504.4690553882
15.9000000000,166.8729777081,20504.4690553879
19.1000000000,158.8811222530,20504.4690546211
22.3000000000,153.2263459030,20504.4690546230
23.9000000000,150.8660663975,20504.4690546225
27.1000000000,146.9953245779,20504.4690546098
33.5000000000,140.6233137065,20504.4690548577
36.7000000000,137.8039914867,20504.4690548089
43.1000000000,133.1374713776,20504.4690548142
46.3000000000,131.1520244121,20504.4690548130
52.7000000000,127.8916888524,20504.4690548719
65.5000000000,122.7448185116,20504.4690548691
71.9000000000,120.6530393860,20504.4690548496
84.7000000000,117.2471242874,20504.4690550048
91.1000000000,115.7993557102,20504.4690550342
103.9000000000,113.4651302686,20504.4690550332
110.3000000000,112.4478264781,20504.4690550335
123.1000000000,110.6635431007,20504.4690548362
148.7000000000,107.6325034635,20504.4690548709
161.5000000000,106.2681624896,20504.4690548240
187.1000000000,103.8534479105,20504.4690548305
199.9000000000,102.7505169036,20504.4690548194
225.5000000000,100.7727628783,20504.4690548192
238.3000000000,99.8598638033,20504.4690548183
263.9000000000,98.2081223503,20504.4690541037
315.1000000000,95.3360248664,20504.4690533322
340.7000000000,94.0190722539,20504.4690533452
391.9000000000,91.2425063789,20504.4690537697
417.5000000000,90.0702230610,20504.4690537731
430.3000000000,89.5235100414,20504.4690532154
455.9000000000,88.4568109982,20504.4690532151
481.5000000000,87.3941955389,20504.4690532767
507.1000000000,86.3031182293,20504.4690523816
519.9000000000,85.7313267748,20504.4690524064
526.3000000000,85.4290933455,20504.4690533787
539.1000000000,84.5277691327,20504.4690533622
545.5000000000,84.1779501773,20504.4690533527
548.7000000000,84.0316175437,20504.4690533469
555.1000000000,83.7665734848,20504.4690533081
567.9000000000,83.2485191147,20504.4690533123
574.3000000000,82.9780740320,20504.4690541169
587.1000000000,82.1734381110,20504.4690541133
593.5000000000,81.8467645326,20504.4690541137
596.7000000000,81.7093939542,20504.4690540937
603.1000000000,81.4684119323,20504.4690540724
615.9000000000,81.0360777322,20504.4690527478
641.5000000000,80.1780068243,20504.4690527426
654.3000000000,79.7151585967,20504.4690528935
667.1000000000,78.9218490313,20504.4690529010
673.5000000000,78.6093788239,20504.4690529114
676.7000000000,78.4880562498,20504.4690528954
683.1000000000,78.2737338266,20504.4690528067
695.9000000000,77.6182510527,20504.4690528682
702.3000000000,77.3259636882,20504.4690528703
705.5000000000,77.2102708735,20504.4690528688
711.9000000000,77.0206283171,20504.4690528326
724.7000000000,76.7110668913,20504.4690518851
750.3000000000,76.1743797772,20504.4690444121
801.5000000000,75.1716599401,20504.4690432370
903.9000000000,73.2699307308,20504.4690432339
955.1000000000,72.3556618361,20504.4690432318
980.7000000000,71.9071060376,20504.4690432322
1031.9000000000,71.0351186834,20504.4690426108
